Kebersihan,Sampah,Kebersihan_SP,Luas,Kenyamanan_Kursi,Kebisingan_Kursi,Jumlah_Kursi,Alat_Elektronik,AC,Kondisi_SP,Cluster,Cluster_enc
3,3,4,3,3,2,4,2,3,2,0,Tidak Puas
3,4,3,3,3,3,3,3,3,3,0,Tidak Puas
3,3,1,3,3,3,4,2,4,3,0,Tidak Puas
4,3,3,4,3,2,4,4,4,3,1,Puas
4,4,3,4,3,4,4,4,3,4,1,Puas
3,3,3,3,3,3,3,3,3,3,0,Tidak Puas
3,4,3,4,3,4,4,3,4,4,1,Puas
3,4,3,4,3,3,3,3,4,3,1,Puas
4,4,2,4,3,2,4,4,4,4,1,Puas
3,3,2,2,4,2,4,3,4,2,0,Tidak Puas
3,3,3,3,2,3,3,2,2,3,0,Tidak Puas
4,4,4,4,4,3,3,3,3,3,1,Puas
4,4,3,4,3,4,4,4,3,3,1,Puas
3,2,3,3,3,3,4,3,3,3,0,Tidak Puas
3,3,3,4,3,2,4,3,3,3,1,Puas
4,4,3,3,3,2,4,3,3,4,1,Puas
4,3,3,4,4,2,3,4,4,4,1,Puas
4,4,4,4,4,1,4,3,4,4,1,Puas
3,4,3,4,3,4,4,3,4,2,1,Puas
3,4,4,4,4,3,4,4,4,4,1,Puas
3,3,3,3,1,2,3,3,2,2,0,Tidak Puas
4,4,3,3,3,2,3,3,3,3,0,Tidak Puas
4,4,4,4,4,4,4,4,4,3,1,Puas
4,4,3,2,3,3,3,3,3,3,0,Tidak Puas
3,3,3,4,4,4,4,4,4,4,1,Puas
4,1,2,4,2,3,4,4,4,4,1,Puas
4,3,3,4,4,2,4,4,4,4,1,Puas
3,3,2,3,4,4,3,2,3,2,0,Tidak Puas
4,3,2,3,2,3,3,3,3,3,0,Tidak Puas
3,2,3,3,4,3,4,3,3,4,0,Tidak Puas
3,3,3,3,3,3,3,3,3,3,0,Tidak Puas
3,3,3,4,3,3,4,4,3,3,1,Puas
3,4,3,3,2,4,3,3,4,3,0,Tidak Puas
3,4,2,3,3,4,3,4,4,4,1,Puas
4,3,2,3,3,3,1,3,2,3,0,Tidak Puas
3,4,4,3,2,4,4,4,3,3,1,Puas
4,3,4,3,4,2,4,3,4,3,1,Puas
4,4,4,3,4,2,4,3,3,3,1,Puas
3,3,3,3,3,4,3,3,3,1,0,Tidak Puas
3,3,3,2,1,3,3,2,3,3,0,Tidak Puas
3,3,1,3,3,4,3,2,3,2,0,Tidak Puas
3,4,3,4,3,3,3,4,4,3,1,Puas
3,3,3,3,3,3,3,3,3,3,0,Tidak Puas
3,3,3,3,3,2,3,3,3,3,0,Tidak Puas
2,3,3,3,3,3,3,3,3,3,0,Tidak Puas
4,3,3,2,1,4,4,2,3,2,0,Tidak Puas
3,4,4,4,4,1,4,4,4,3,1,Puas
4,4,4,3,4,2,2,4,4,4,1,Puas
3,4,3,3,4,2,4,4,2,4,1,Puas
3,3,4,4,4,4,4,4,4,3,1,Puas
4,3,2,4,4,3,4,4,4,4,1,Puas
4,4,2,3,2,3,3,4,4,4,1,Puas
3,3,3,4,4,2,4,3,4,4,1,Puas
4,3,3,4,4,2,4,3,4,4,1,Puas
3,4,3,4,3,1,4,3,4,4,1,Puas
3,3,2,4,4,1,4,3,4,3,1,Puas
3,4,4,4,4,2,4,3,4,3,1,Puas
3,3,1,4,3,2,4,3,4,4,1,Puas
3,3,2,4,4,3,4,3,4,3,1,Puas
3,4,4,4,3,3,4,3,4,3,1,Puas
3,4,3,4,4,3,4,3,4,3,1,Puas
3,4,3,4,3,3,4,4,4,3,1,Puas
4,4,3,4,3,3,4,3,4,4,1,Puas
4,3,4,4,4,3,4,3,4,4,1,Puas
4,4,3,4,3,3,4,3,4,4,1,Puas
4,3,4,4,4,3,4,3,4,3,1,Puas
3,4,3,4,4,4,4,4,3,3,1,Puas
4,4,3,4,3,3,4,4,4,3,1,Puas
3,4,3,3,3,3,4,4,4,3,1,Puas
3,4,3,4,4,3,3,3,4,4,1,Puas
3,3,4,3,3,3,4,3,3,3,0,Tidak Puas
4,3,3,4,4,3,3,4,4,3,1,Puas
3,3,4,4,2,3,4,4,4,3,1,Puas
3,3,4,4,2,3,4,3,4,3,1,Puas
3,4,2,4,3,3,3,4,4,3,1,Puas
3,3,3,4,2,2,4,4,4,4,1,Puas
3,4,3,3,3,4,4,3,4,4,1,Puas
4,3,3,3,2,3,4,3,3,4,0,Tidak Puas
4,3,4,3,3,2,3,2,3,4,0,Tidak Puas
4,2,3,3,3,4,3,4,4,3,0,Tidak Puas
4,3,3,4,4,3,4,4,3,3,1,Puas
4,2,3,4,2,2,4,2,4,3,0,Tidak Puas
4,4,4,4,3,4,3,3,4,4,1,Puas
4,3,3,4,2,2,4,4,3,3,1,Puas
4,3,3,4,2,3,3,2,3,3,0,Tidak Puas
3,4,3,4,3,4,4,3,4,3,1,Puas
4,3,3,4,3,2,4,3,3,4,1,Puas
4,3,4,3,2,3,4,3,4,4,1,Puas
3,4,3,3,3,3,3,3,4,3,0,Tidak Puas
3,3,3,3,3,3,3,4,3,3,0,Tidak Puas
3,3,3,3,3,3,3,3,4,3,0,Tidak Puas
3,3,3,3,3,3,3,3,4,3,0,Tidak Puas
3,3,4,3,3,3,3,3,3,3,0,Tidak Puas
3,3,3,3,3,3,3,3,3,3,0,Tidak Puas
3,3,3,3,3,3,3,3,3,4,0,Tidak Puas
3,3,3,3,3,3,3,3,3,3,0,Tidak Puas
3,3,3,3,3,3,3,3,3,3,0,Tidak Puas
3,3,3,4,3,3,3,3,3,3,0,Tidak Puas
3,3,3,3,3,3,3,3,3,3,0,Tidak Puas
3,3,3,3,3,3,3,3,3,3,0,Tidak Puas
3,3,3,3,3,3,3,3,3,3,0,Tidak Puas
3,3,3,3,3,3,3,3,3,3,0,Tidak Puas
3,3,3,3,3,3,3,3,4,3,0,Tidak Puas
3,3,3,3,3,3,3,3,3,3,0,Tidak Puas
3,3,3,3,3,3,3,3,3,3,0,Tidak Puas
3,4,2,3,3,2,3,2,3,3,0,Tidak Puas
3,3,3,3,3,3,3,3,3,2,0,Tidak Puas
